date,raw_date,value_date,description,debit,credit,balance,channel,transaction_reference,row_issue
2025-02-23,23 Feb 2025,,,10.0,0.0,212.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-23,23 Feb 2025,,,100.0,0.0,112.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-23,23 Feb 2025,,,100.0,0.0,12.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-23,23 Feb 2025,,,0.0,15000.0,15012.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-23,23 Feb 2025,,,50.0,0.0,14962.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-23,23 Feb 2025,,,1000.0,0.0,13962.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-23,23 Feb 2025,,,1500.0,0.0,12462.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-23,23 Feb 2025,,,0.0,5000.0,17462.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-23,23 Feb 2025,,,1500.0,0.0,15962.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-23,23 Feb 2025,,,3600.0,0.0,12362.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-24,24Feb 2025,,,100.0,0.0,12262.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-01,Feb 2025,,,620.0,0.0,11642.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-24,24Feb 2025,,,2500.0,0.0,9142.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-24,24 Feb 2025,,,1000.0,0.0,8142.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-01,Feb 2025,,,1400.0,0.0,6742.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-24,24Feb 2025,,,300.0,0.0,6442.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-25,25 Feb 2025,,,900.0,0.0,5542.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-25,25 Feb 2025,,,250.0,0.0,5292.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-25,25 Feb 2025,,,2800.0,0.0,249251.0,EMPTY,,"invalid_value_date, missing_channel"
2025-02-25,25 Feb 2025,,,200.0,0.0,2292.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-25,25 Feb 2025,,,0.0,2000.0,4292.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-25,25 Feb 2025,,,4000.0,0.0,292.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-25,25 Feb 2025,,,0.0,1000.0,1292.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-25,25 Feb 2025,,,217.0,0.0,1075.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-25,25 Feb 2025,,,1000.0,0.0,75.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-26,26 Feb 2025,,,70.0,0.0,5.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-27,27 Feb 2025,,,0.0,8000.0,8005.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-28,28 Feb 2025,,,500.0,0.0,7505.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-28,28 Feb 2025,,,0.0,20000.0,27505.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-28,28 Feb 2025,,,50.0,0.0,27455.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-28,28 Feb 2025,,,0.0,100000.0,127455.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-28,28 Feb 2025,,,50.0,0.0,127405.51,EMPTY,,"invalid_value_date, missing_channel"
2025-02-28,28 Feb 2025,,,100000.0,0.0,27405.51,EMPTY,,"invalid_value_date, missing_channel"
